artifact_id,text,evidence_type,timestamp,gold_controls,gold_rationale,auditor_id
2029,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:27:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2030,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:30:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2031,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:33:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2032,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:36:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2033,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:39:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2034,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T10:42:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2035,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T10:45:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2036,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T10:48:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2037,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T10:51:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2038,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T10:54:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2039,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T10:57:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2040,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:00:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2041,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:03:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2042,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T11:06:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2043,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T11:09:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2044,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T11:12:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2045,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T11:15:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2046,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:18:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2047,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:21:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2048,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T11:24:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2049,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T11:27:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2050,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T11:30:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2051,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T11:33:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2052,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:36:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2053,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:39:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2054,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T11:42:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2055,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T11:45:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2056,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T11:48:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2057,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T11:51:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2058,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T11:54:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2059,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T11:57:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2060,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:00:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2061,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:03:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2062,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T12:06:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2063,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T12:09:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2064,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T12:12:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2065,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T12:15:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2066,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:18:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2067,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:21:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2068,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T12:24:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2069,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T12:27:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2070,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T12:30:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2071,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T12:33:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2072,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:36:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2073,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:39:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2074,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T12:42:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2075,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T12:45:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2076,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T12:48:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2077,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T12:51:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2078,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T12:54:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2079,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T12:57:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2080,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:00:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2081,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:03:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2082,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T13:06:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2083,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T13:09:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2084,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T13:12:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2085,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T13:15:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2086,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:18:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2087,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:21:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2088,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T13:24:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2089,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T13:27:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2090,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T13:30:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2091,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T13:33:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2092,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:36:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2093,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:39:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2094,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T13:42:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2095,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T13:45:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2096,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T13:48:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2097,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T13:51:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2098,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T13:54:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2099,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T13:57:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2100,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:00:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2101,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:03:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2102,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T14:06:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2103,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T14:09:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2104,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T14:12:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2105,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T14:15:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2106,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:18:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2107,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:21:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2108,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T14:24:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
2109,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T14:27:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k5
2110,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T14:30:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k1
2111,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T14:33:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k2
2112,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:36:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k3
2113,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:39:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k4
2114,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T14:42:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k5
2115,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T14:45:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k1
2116,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T14:48:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k2
2117,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T14:51:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k3
2118,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T14:54:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k4
2119,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T14:57:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k5
2120,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:00:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k1
2121,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:03:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k2
2122,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:06:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k3
2123,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:09:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k4
2124,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:12:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k5
2125,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:15:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k1
2126,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:18:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k2
2127,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:21:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k3
2128,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:24:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k4
2129,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:27:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k5
2130,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:30:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k1
2131,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:33:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k2
2132,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:36:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k3
2133,S3 bucket finance-archive not encrypted at rest; KMS key reused across apps.,config,2025-09-15T15:39:00Z,SC-28;SC-12,At-rest encryption and key management gaps ⇒ SC-28; SC-12.,auditor.k4
2134,NTP drift 62s on db-01; not synced to authoritative time source.,log,2025-09-15T15:42:00Z,AU-8,Clock drift jeopardizes timestamp integrity ⇒ AU-8.,auditor.k5
2135,API gateway rate limiting disabled; prior DDoS impacted availability.,log,2025-09-15T15:45:00Z,SC-5;SC-7,DoS protection missing; boundary controls implicated ⇒ SC-5; SC-7.,auditor.k1
2136,TLS disabled on api-gateway; HTTP allowed; weak ciphers TLS_RSA_WITH_3DES_EDE_CBC_SHA.,config,2025-09-15T15:48:00Z,SC-8;SC-13,Insecure transport and crypto configuration ⇒ SC-8; SC-13.,auditor.k2
2137,Change deployed to prod without approval link; emergency process not documented.,ticket,2025-09-15T15:51:00Z,CM-3;SA-11,Change control and testing gaps ⇒ CM-3; SA-11.,auditor.k3
2138,Multiple failed logins from 10.0.5.12 to auth-service; account svc-app not locked after 5 attempts.,log,2025-09-15T15:54:00Z,AC-7;AU-6,Lockout threshold not enforced; correlated via audit review ⇒ AC-7; AU-6.,auditor.k4
